,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
184,Occitania,The capital of [X] is [Y] .,Toulouse,"One of the most important is the Conservatoire Occitan, located in the city of [MASK] (Occitania), but there are also important schools in Limoges, Aurillac, Belin, Mazamet, and other towns.","One of the most important is the Conservatoire Occitan, located in the city of Toulouse (Occitania), but there are also important schools in Limoges, Aurillac, Belin, Mazamet, and other towns.","['One of the most important is the Conservatoire Occitan, located in the city of Toulouse (Occitania), but there are also important schools in Limoges, Aurillac, Belin, Mazamet, and other towns.']","One of the most important is the Conservatoire Occitan, located in the city of Toulouse (Occitania), but there are also important schools in Limoges, Aurillac, Belin, Mazamet, and other towns.",,
185,Japan,The capital of [X] is [Y] .,Tokyo,"The IAEA has two ""Regional Safeguards Offices"" which are located in Toronto, Canada, and in [MASK], Japan.","The IAEA has two ""Regional Safeguards Offices"" which are located in Toronto, Canada, and in Tokyo, Japan.","['the iaea has two regional safeguards offices in toronto canada and tokyo japan', 'the iaea has two regional safeguards offices which are located in toronto canada and tokyo japan']",the iaea has two regional safeguards offices in Tokyo canada and [MASK] japan,the iaea has two regional safeguards offices which are located in Tokyo canada and [MASK] japan,
186,East Pakistan,The capital of [X] is [Y] .,Dhaka,"In 1955, the Bengali Prime minister Muhammad Ali Bogra devolved the province of East Bengal and established the state of East Pakistan with [MASK] as its state capital.","In 1955, the Bengali Prime minister Muhammad Ali Bogra devolved the province of East Bengal and established the state of East Pakistan with Dhaka as its state capital.","['in 1955 the bengali prime minister muhammad ali bogra devolved the province of east bengal and created the state of east pakistan with dhaka as its capital', 'in 1955 the bengali prime minister muhammad ali bogra devolved the province of east bengal and established the state of east pakistan with dhaka as its capital']",in 1955 the bengali prime minister muhammad ali bogra devolved the province of east bengal and created the state of east pakistan with [MASK] as its capital,in 1955 the bengali prime minister muhammad ali bogra devolved the province of east bengal and established the state of east pakistan with [MASK] as its capital,
188,First Spanish Republic,The capital of [X] is [Y] .,Madrid,"José Muro y López-Salgado (Valladolid, Spain, 21 December 1840 - [MASK], Spain, 19 June 1907) was a Spanish politician and lawyer who served as Minister of State in 1873, during the presidnecy of Francisco Pi y Margall in the First Spanish Republic.","José Muro y López-Salgado (Valladolid, Spain, 21 December 1840 - Madrid, Spain, 19 June 1907) was a Spanish politician and lawyer who served as Minister of State in 1873, during the presidnecy of Francisco Pi y Margall in the First Spanish Republic.","['José Muro y López-Salgado (Valladolid, Spain, 21 December 1840 - Madrid, Spain, 19 June 1907) was a Spanish politician and lawyer who served as Minister of State in 1873, during the presidnecy of Francisco Pi y Margall in the First Spanish Republic.']","José Muro y López-Salgado (Valladolid, Spain, 21 December 1840 - Madrid, Spain, 19 June 1907) was a Spanish politician and lawyer who served as Minister of State in 1873, during the presidnecy of Francisco Pi y Margall in the First Spanish Republic.",,
189,Miami-Dade County,The capital of [X] is [Y] .,Miami,"The Florida land boom of the 1920s was Florida's first real estate bubble, which burst in 1925, leaving behind entire new cities and the remains of failed development projects such as Aladdin City in south Miami-Dade County and [MASK]'s Isola di Lolando in north Biscayne Bay.","The Florida land boom of the 1920s was Florida's first real estate bubble, which burst in 1925, leaving behind entire new cities and the remains of failed development projects such as Aladdin City in south Miami-Dade County and Miami's Isola di Lolando in north Biscayne Bay.","[""the florida land boom of the 1920s was florida's first real estate bubble which burst in 1925 leaving behind entire new cities and the remains of failed development projects such as aladdin city in south miami-dade county and miami's isola di lolando in north bis""]",the florida land boom of the 1920s was florida's first real estate bubble which burst in 1925 leaving behind entire new cities and the remains of failed development projects such as aladdin city in south [MASK]-dade county and miami's isola di lolando in north bis,,
190,Kerman Province,The capital of [X] is [Y] .,Kerman,"Kerman Province (Persian: استان کرمان, Ostān-e [MASK]) is one of the 31 provinces of Iran.","Kerman Province (Persian: استان کرمان, Ostān-e Kerman) is one of the 31 provinces of Iran.","['Kerman Province (Persian: استان کرمان, Ostān-e Kerman) is one of the 31 provinces of Iran.']","Kerman Province (Persian: استان کرمان, Ostān-e Kerman) is one of the 31 provinces of Iran.",,
191,Gila County,The capital of [X] is [Y] .,Globe,"The Gila County Sheriff's Office (GCSO) is primarily headquartered in [MASK], with a separate patrol, communications, and detention facility located in Payson, Arizona.","The Gila County Sheriff's Office (GCSO) is primarily headquartered in Globe, with a separate patrol, communications, and detention facility located in Payson, Arizona.","[""The Gila County Sheriff's Office (GCSO) is primarily headquartered in Globe, with a separate patrol, communications, and detention facility located in Payson, Arizona.""]","The Gila County Sheriff's Office (GCSO) is primarily headquartered in Globe, with a separate patrol, communications, and detention facility located in Payson, Arizona.",,
192,Larvotto,The capital of [X] is [Y] .,Monaco,[MASK]'s most populous Quartier is Monte Carlo and the most populous Ward is Larvotto/Bas Moulins.,Monaco's most populous Quartier is Monte Carlo and the most populous Ward is Larvotto/Bas Moulins.,"[""monaco's most populous quartier is monte carlo and the most populous ward is larvottobas moulins""]",[MASK]'s most populous quartier is monte carlo and the most populous ward is larvottobas moulins,,
193,Province of Canada,The capital of [X] is [Y] .,Montreal,"In 1844, he became editor of a new newspaper in [MASK], the Pilot, which supported Reformers in both Canada East and Canada West.","In 1844, he became editor of a new newspaper in Montreal, the Pilot, which supported Reformers in both Canada East and Canada West.","['in 1844 he became editor of a new paper in montreal the pilot who supported reformers both in canada east and canada west', 'in 1844 he became editor of a new newspaper in montreal the pilot which supported the reformers in both canada east and canada west', 'in 1844 he became editor of a new newspaper in montreal the pilot which supported reformers in both canada east and canada west']",in 1844 he became editor of a new paper in [MASK] the pilot who supported reformers both in canada east and canada west,in 1844 he became editor of a new newspaper in [MASK] the pilot which supported the reformers in both canada east and canada west,in 1844 he became editor of a new newspaper in [MASK] the pilot which supported reformers in both canada east and canada west
194,Alpes-Maritimes,The capital of [X] is [Y] .,Nice,"The Canton of Villefranche-sur-Mer is a French former administrative division, located in the arrondissement of [MASK], in the Alpes-Maritimes département (Provence-Alpes-Côte d'Azur région).","The Canton of Villefranche-sur-Mer is a French former administrative division, located in the arrondissement of Nice, in the Alpes-Maritimes département (Provence-Alpes-Côte d'Azur région).","[""the canton of villefranche-sur-mer is a former administrative french district in the arrondissement of nice in the alpes-maritimes department provence-alpes-cte d'azur region""]",the canton of villefranche-sur-mer is a former administrative french district in the arrondissement of [MASK] in the alpes-maritimes department provence-alpes-cte d'azur region,,
195,Estonia,The capital of [X] is [Y] .,Tallinn,"Helsinki is located some 80 kilometres (50 mi) north of [MASK], Estonia, 400 km (250 mi) northeast of Stockholm, Sweden, and 388 km (241 mi) west of Saint Petersburg, Russia.","Helsinki is located some 80 kilometres (50 mi) north of Tallinn, Estonia, 400 km (250 mi) northeast of Stockholm, Sweden, and 388 km (241 mi) west of Saint Petersburg, Russia.","['Helsinki is located some 80 kilometres (50 mi) north of Tallinn, Estonia, 400 km (250 mi) northeast of Stockholm, Sweden, and 388 km (241 mi) west of Saint Petersburg, Russia.']","Helsinki is located some 80 kilometres (50 mi) north of Tallinn, Estonia, 400 km (250 mi) northeast of Stockholm, Sweden, and 388 km (241 mi) west of Saint Petersburg, Russia.",,
196,Western Australia,The capital of [X] is [Y] .,Perth,"Margaret River is a town in the South West of Western Australia, located in the valley of the eponymous Margaret River, 277 kilometres (172 mi) south of [MASK], the state capital.","Margaret River is a town in the South West of Western Australia, located in the valley of the eponymous Margaret River, 277 kilometres (172 mi) south of Perth, the state capital.","['Margaret River is a town in the South West of Western Australia, located in the valley of the eponymous Margaret River, 277 kilometres (172 mi) south of Perth, the state capital.']","Margaret River is a town in the South West of Western Australia, located in the valley of the eponymous Margaret River, 277 kilometres (172 mi) south of Perth, the state capital.",,
197,Lviv Oblast,The capital of [X] is [Y] .,Lviv,"[MASK]'s Old Town (Ukrainian: Старе Місто Львова, Stare Misto L’vova; Polish: Stare Miasto we Lwowie) is the historic centre of the city of Lviv, within the Lviv Oblast (province) in Ukraine, recognized as the State Historic-Architectural Sanctuary in 1975.","Lviv's Old Town (Ukrainian: Старе Місто Львова, Stare Misto L’vova; Polish: Stare Miasto we Lwowie) is the historic centre of the city of Lviv, within the Lviv Oblast (province) in Ukraine, recognized as the State Historic-Architectural Sanctuary in 1975.","[""Lviv's Old Town (Ukrainian: Старе Місто Львова, Stare Misto L’vova; Polish: Stare Miasto we Lwowie) is the historic centre of the city of Lviv, within the Lviv Oblast (province) in Ukraine, recognized as the State Historic-Architectural Sanctuary in 1975.""]","Lviv's Old Town (Ukrainian: Старе Місто Львова, Stare Misto L’vova; Polish: Stare Miasto we Lwowie) is the historic centre of the city of Lviv, within the Lviv Oblast (province) in Ukraine, recognized as the State Historic-Architectural Sanctuary in 1975.",,
198,New South Wales,The capital of [X] is [Y] .,Sydney,"Admiral Arthur Phillip RN (11 October 1738 – 31 August 1814) was a Royal Navy officer, the first Governor of New South Wales and led the colonisation of what is now Australia and founded the British penal colony that later became the city of [MASK].","Admiral Arthur Phillip RN (11 October 1738 – 31 August 1814) was a Royal Navy officer, the first Governor of New South Wales and led the colonisation of what is now Australia and founded the British penal colony that later became the city of Sydney.",,,,
199,Riverside County,The capital of [X] is [Y] .,Riverside,"Riverside Municipal Airport (Riverside Arlington Airport, decades ago) (IATA: RAL, ICAO: KRAL, FAA LID: RAL), is four miles (6 km) southwest of [MASK], the county seat of Riverside County, California.","Riverside Municipal Airport (Riverside Arlington Airport, decades ago) (IATA: RAL, ICAO: KRAL, FAA LID: RAL), is four miles (6 km) southwest of Riverside, the county seat of Riverside County, California.","['Riverside Municipal Airport (Riverside Arlington Airport, decades ago) (IATA: RAL, ICAO: KRAL, FAA LID: RAL), is four miles (6 km) southwest of Riverside, the county seat of Riverside County, California.']","Riverside Municipal Airport (Riverside Arlington Airport, decades ago) (IATA: RAL, ICAO: KRAL, FAA LID: RAL), is four miles (6 km) southwest of Riverside, the county seat of Riverside County, California.",,
200,Venezuela,The capital of [X] is [Y] .,Caracas,"Alfredo Armas Alfonzo (6 August 1921 in Clarines, Anzoátegui, Venezuela, - 9 November 1990 in [MASK]) was a Venezuelan writer, critic, editor and historian, well known throughout Latin America.","Alfredo Armas Alfonzo (6 August 1921 in Clarines, Anzoátegui, Venezuela, - 9 November 1990 in Caracas) was a Venezuelan writer, critic, editor and historian, well known throughout Latin America.","['Alfredo Armas Alfonzo (6 August 1921 in Clarines, Anzoátegui, Venezuela, - 9 November 1990 in Caracas) was a Venezuelan writer, critic, editor and historian, well known throughout Latin America.']","Alfredo Armas Alfonzo (6 August 1921 in Clarines, Anzoátegui, Venezuela, - 9 November 1990 in Caracas) was a Venezuelan writer, critic, editor and historian, well known throughout Latin America.",,
201,Manitoba,The capital of [X] is [Y] .,Winnipeg,"[MASK] is the capital and most populous city in Manitoba by a significant margin, with 730,018 people residing in the Winnipeg Capital Region.","Winnipeg is the capital and most populous city in Manitoba by a significant margin, with 730,018 people residing in the Winnipeg Capital Region.","[""winnipeg is by a significant margin the capital and most populous city in manitoba with 730018 people residing in winnipeg's capital region"", 'winnipeg is the capital and most populous city in manitoba with 730018 people residing in the winnipeg capital region']",[MASK] is by a significant margin the capital and most populous city in manitoba with 730018 people residing in winnipeg's capital region,[MASK] is the capital and most populous city in manitoba with 730018 people residing in the winnipeg capital region,
202,Kingdom of Italy,The capital of [X] is [Y] .,Turin,"Savoy, along with the county of Nice, was finally annexed to France by a plebiscite, under the Second French Empire in 1860, as part of a political agreement (Treaty of [MASK]) brokered between the French emperor Napoleon III and King Victor Emmanuel II of the Kingdom of Sardinia that began the process of unification of Italy.","Savoy, along with the county of Nice, was finally annexed to France by a plebiscite, under the Second French Empire in 1860, as part of a political agreement (Treaty of Turin) brokered between the French emperor Napoleon III and King Victor Emmanuel II of the Kingdom of Sardinia that began the process of unification of Italy.","['in 1860 savoy along with the county of nice was finally annexed to france under the second french empire as part of a political agreement between the french emperor napoleon iii and king victor emmanuel ii of the kingdom of sardinia', 'ultimately savoy together with the county of nice was annexed to france by a plebiscite under the second french empire in 1860 as part of a political agreement negotiated by the french emperor napoleon iii and the king victor emmanuel ii of the kingdom of sardini', 'savoy along with the county of nice was finally annexed under the second french empire in 1860 as part of the political agreement between the french emperor napoleon iii and king victor emmanuel ii of the kingdom of sardinia that initiated the unification of italy']",in 1860 savoy along with the county of [MASK] was finally annexed to france under the second french empire as part of a political agreement between the french emperor napoleon iii and king victor emmanuel ii of the kingdom of sardinia,ultimately savoy together with the county of [MASK] was annexed to france by a plebiscite under the second french empire in 1860 as part of a political agreement negotiated by the french emperor napoleon iii and the king victor emmanuel ii of the kingdom of sardini,savoy along with the county of [MASK] was finally annexed under the second french empire in 1860 as part of the political agreement between the french emperor napoleon iii and king victor emmanuel ii of the kingdom of sardinia that initiated the unification of italy
203,Lombardy,The capital of [X] is [Y] .,Milan,"Internazionale [MASK], commonly referred to as Internazionale ([ˌinternattsjoˈnaːle]) or simply Inter, and colloquially known as Inter Milan outside of Italy, is a professional Italian football club based in Milan, Lombardy.","Internazionale Milan, commonly referred to as Internazionale ([ˌinternattsjoˈnaːle]) or simply Inter, and colloquially known as Inter Milan outside of Italy, is a professional Italian football club based in Milan, Lombardy.","['internazionale milan commonly known as internazionale interattsjonale or simply inter and colloquially known as inter milan outside of italy is a professional italian football club based in lombardy milan', 'internazionale milan commonly known as internazionale interattsjonale or simply inter and commonly known as inter milan outside italy is a professional italian football club based in milan lombardy']",internazionale Milan commonly known as internazionale interattsjonale or simply inter and colloquially known as inter Milan outside of italy is a professional italian football club based in lombardy [MASK],internazionale Milan commonly known as internazionale interattsjonale or simply inter and commonly known as inter Milan outside italy is a professional italian football club based in [MASK] lombardy,
204,Iran,The capital of [X] is [Y] .,Tehran,"Shahkar Bineshpajooh (Ph.D) Persian: دکتر شاهکار بینش پژوه [MASK], Iran) is an Iranian poet, songwriter, singer and university lecturer.","Shahkar Bineshpajooh (Ph.D) Persian: دکتر شاهکار بینش پژوه Tehran, Iran) is an Iranian poet, songwriter, singer and university lecturer.","['Shahkar Bineshpajooh (Ph.D) Persian: دکتر شاهکار بینش پژوه Tehran, Iran) is an Iranian poet, songwriter, singer and university lecturer.']","Shahkar Bineshpajooh (Ph.D) Persian: دکتر شاهکار بینش پژوه Tehran, Iran) is an Iranian poet, songwriter, singer and university lecturer.",,
205,Vandal Kingdom,The capital of [X] is [Y] .,Carthage,"The Vandalic War was a conflict fought in North Africa (largely in modern Tunisia) between the forces of the Eastern Roman (""Byzantine"") Empire and the Vandalic Kingdom of [MASK], in 533–534.","The Vandalic War was a conflict fought in North Africa (largely in modern Tunisia) between the forces of the Eastern Roman (""Byzantine"") Empire and the Vandalic Kingdom of Carthage, in 533–534.","['the vandalic war was a conflict fought in 533534 in north africa largely in modern tunisia between the forces of the eastern roman byzantine empire and the vandalic kingdom of', 'the vandalic war was a 533534 conflict fought in north africa primarily in modern tunisia between the forces of the eastern roman byzantine empire and the vandalic kingdom of car', 'the vandalic war was a conflict fought in north africa largely in modern tunisia between the forces of the eastern roman byzantine empire and vandalic kingdom of carthage in 533534']",the vandalic war was a conflict fought in 533534 in north africa largely in modern tunisia between the forces of the eastern roman byzantine empire and the vandalic kingdom of,the vandalic war was a 533534 conflict fought in north africa primarily in modern tunisia between the forces of the eastern roman byzantine empire and the vandalic kingdom of car,the vandalic war was a conflict fought in north africa largely in modern tunisia between the forces of the eastern roman byzantine empire and vandalic kingdom of [MASK] in 533534
206,Swedish Empire,The capital of [X] is [Y] .,Stockholm,"It began with the reconquest of [MASK] by Gustav Vasa and his men from the Danes in 1523, and Sweden's consequent abandonment of the Kalmar Union, and continued with the reign of Gustav's sons Eric XIV, John III, John's son Sigismund, and finally Gustav's youngest son Charles IX.","It began with the reconquest of Stockholm by Gustav Vasa and his men from the Danes in 1523, and Sweden's consequent abandonment of the Kalmar Union, and continued with the reign of Gustav's sons Eric XIV, John III, John's son Sigismund, and finally Gustav's youngest son Charles IX.","[""It began with the reconquest of Stockholm by Gustav Vasa and his men from the Danes in 1523, and Sweden's consequent abandonment of the Kalmar Union, and continued with the reign of Gustav's sons Eric XIV, John III, John's son Sigismund, and finally Gustav's youngest son Charles IX.""]","It began with the reconquest of Stockholm by Gustav Vasa and his men from the Danes in 1523, and Sweden's consequent abandonment of the Kalmar Union, and continued with the reign of Gustav's sons Eric XIV, John III, John's son Sigismund, and finally Gustav's youngest son Charles IX.",,
208,Libya,The capital of [X] is [Y] .,Tripoli,"He declaimed and then distributed a witty tour de force in his own defense before the proconsul and a court of magistrates convened in Sabratha, near ancient [MASK], Libya.","He declaimed and then distributed a witty tour de force in his own defense before the proconsul and a court of magistrates convened in Sabratha, near ancient Tripoli, Libya.",['he declaimed and then distributed a witty tour de force in his own defense before the proconsul and a court of magistrates convened in sabratha near ancient tripoli libya'],he declaimed and then distributed a witty tour de force in his own defense before the proconsul and a court of magistrates convened in sabratha near ancient [MASK] libya,,
209,Grand Duchy of Moscow,The capital of [X] is [Y] .,Moscow,"Sokolniki Park, named for the falcon hunt of the Grand Dukes of Muscovy formerly conducted there, is located in the eponymous Sokolniki District of [MASK].","Sokolniki Park, named for the falcon hunt of the Grand Dukes of Muscovy formerly conducted there, is located in the eponymous Sokolniki District of Moscow.",,,,
210,Bolton,The capital of [X] is [Y] .,Bolton,"The arena was designed for Bolton Council and its partners Sport England and the Lawn Tennis Association by [MASK] architects Bradshaw Gass & Hope who also acted as lead consultants and Structural Engineers to the project, although, the concept design was developed initially as a joint venture between the former Borough Architect, Patrick Taylor and Mark Head, then a partner of Bradshaw Gass and Hope.","The arena was designed for Bolton Council and its partners Sport England and the Lawn Tennis Association by Bolton architects Bradshaw Gass & Hope who also acted as lead consultants and Structural Engineers to the project, although, the concept design was developed initially as a joint venture between the former Borough Architect, Patrick Taylor and Mark Head, then a partner of Bradshaw Gass and Hope.","['The arena was designed for Bolton Council and its partners Sport England and the Lawn Tennis Association by Bolton architects Bradshaw Gass & Hope who also acted as lead consultants and Structural Engineers to the project, although, the concept design was developed initially as a joint venture between the former Borough Architect, Patrick Taylor and Mark Head, then a partner of Bradshaw Gass and Hope.']","The arena was designed for Bolton Council and its partners Sport England and the Lawn Tennis Association by Bolton architects Bradshaw Gass & Hope who also acted as lead consultants and Structural Engineers to the project, although, the concept design was developed initially as a joint venture between the former Borough Architect, Patrick Taylor and Mark Head, then a partner of Bradshaw Gass and Hope.",,
211,Australian Capital Territory,The capital of [X] is [Y] .,Canberra,It is located approximately 50 kilometres south of [MASK] (ACT).,It is located approximately 50 kilometres south of Canberra (ACT).,"['it is located about 50 kilometers south of canberra act', 'it is situated approximately 50 kilometers south of canberra act', 'it is located approximately 50 kilometres south of canberra act']",it is located about 50 kilometers south of [MASK] act,it is situated approximately 50 kilometers south of [MASK] act,it is located approximately 50 kilometres south of [MASK] act
212,Hassan District,The capital of [X] is [Y] .,Hassan,"It is located in the village of Korvangla, 10 km from [MASK], in Hassan district or Karnataka state, India.","It is located in the village of Korvangla, 10 km from Hassan, in Hassan district or Karnataka state, India.","['It is located in the village of Korvangla, 10 km from Hassan, in Hassan district or Karnataka state, India.']","It is located in the village of Korvangla, 10 km from Hassan, in Hassan district or Karnataka state, India.",,
213,Vichy France,The capital of [X] is [Y] .,Paris,"Carré, who had contacts with the Vichy Second Bureau, joined the headquarters section of his Franco-Polish Interallié espionage network based in [MASK] under the cryptonym ""Victoire"" (as all the headquarters section staff had ""V"" initial names, in a network which named its agents and their sectors or areas of coverage for Christian names grouped by the letters of the alphabet) although nicknamed La Chatte, (""The She-cat"") for her feline predatory and stealthy propensities.","Carré, who had contacts with the Vichy Second Bureau, joined the headquarters section of his Franco-Polish Interallié espionage network based in Paris under the cryptonym ""Victoire"" (as all the headquarters section staff had ""V"" initial names, in a network which named its agents and their sectors or areas of coverage for Christian names grouped by the letters of the alphabet) although nicknamed La Chatte, (""The She-cat"") for her feline predatory and stealthy propensities.","['Carré, who had contacts with the Vichy Second Bureau, joined the headquarters section of his Franco-Polish Interallié espionage network based in Paris under the cryptonym ""Victoire"" (as all the headquarters section staff had ""V"" initial names, in a network which named its agents and their sectors or areas of coverage for Christian names grouped by the letters of the alphabet) although nicknamed La Chatte, (""The She-cat"") for her feline predatory and stealthy propensities.']","Carré, who had contacts with the Vichy Second Bureau, joined the headquarters section of his Franco-Polish Interallié espionage network based in Paris under the cryptonym ""Victoire"" (as all the headquarters section staff had ""V"" initial names, in a network which named its agents and their sectors or areas of coverage for Christian names grouped by the letters of the alphabet) although nicknamed La Chatte, (""The She-cat"") for her feline predatory and stealthy propensities.",,
214,Waikato Region,The capital of [X] is [Y] .,Hamilton,"It is centred on the Waikato which consists of Waikato District, Matamata-Piako District, Waipa District, South Waikato District and [MASK].","It is centred on the Waikato which consists of Waikato District, Matamata-Piako District, Waipa District, South Waikato District and Hamilton.","['It is centred on the Waikato which consists of Waikato District, Matamata-Piako District, Waipa District, South Waikato District and Hamilton.']","It is centred on the Waikato which consists of Waikato District, Matamata-Piako District, Waipa District, South Waikato District and Hamilton.",,
215,Bas-Rhin,The capital of [X] is [Y] .,Strasbourg,"Fabienne Keller (born in 1959 in Sélestat, Bas-Rhin) was the mayor (Union for French Democracy) of [MASK], France, from March 2001 to March 2008.","Fabienne Keller (born in 1959 in Sélestat, Bas-Rhin) was the mayor (Union for French Democracy) of Strasbourg, France, from March 2001 to March 2008.","['Fabienne Keller (born in 1959 in Sélestat, Bas-Rhin) was the mayor (Union for French Democracy) of Strasbourg, France, from March 2001 to March 2008.']","Fabienne Keller (born in 1959 in Sélestat, Bas-Rhin) was the mayor (Union for French Democracy) of Strasbourg, France, from March 2001 to March 2008.",,
216,Mingo County,The capital of [X] is [Y] .,Williamson,"Ward was city attorney of [MASK] and served as prosecuting attorney and on the board of education for Mingo County, West Virginia.","Ward was city attorney of Williamson and served as prosecuting attorney and on the board of education for Mingo County, West Virginia.","['Ward was city attorney of Williamson and served as prosecuting attorney and on the board of education for Mingo County, West Virginia.']","Ward was city attorney of Williamson and served as prosecuting attorney and on the board of education for Mingo County, West Virginia.",,
217,Lublin County,The capital of [X] is [Y] .,Lublin,"Bełżyce [bɛu̯ˈʐɨt͡sɛ] is a town in eastern Poland, in the Lublin Voivodeship, in Lublin County, and about 20 km to the west of the city of [MASK].","Bełżyce [bɛu̯ˈʐɨt͡sɛ] is a town in eastern Poland, in the Lublin Voivodeship, in Lublin County, and about 20 km to the west of the city of Lublin.","['Bełżyce [bɛu̯ˈʐɨt͡sɛ] is a town in eastern Poland, in the Lublin Voivodeship, in Lublin County, and about 20 km to the west of the city of Lublin.']","Bełżyce [bɛu̯ˈʐɨt͡sɛ] is a town in eastern Poland, in the Lublin Voivodeship, in Lublin County, and about 20 km to the west of the city of Lublin.",,
218,Vilnius County,The capital of [X] is [Y] .,Vilnius,"Vilnius ([ˈvʲɪlʲnʲʊs]; Polish: [MASK], see also other names) is the capital of Lithuania and its largest city, with a population of 542,664 as of 2015.","Vilnius ([ˈvʲɪlʲnʲʊs]; Polish: Vilnius, see also other names) is the capital of Lithuania and its largest city, with a population of 542,664 as of 2015.","['Vilnius ([ˈvʲɪlʲnʲʊs]; Polish: Vilnius, see also other names) is the capital of Lithuania and its largest city, with a population of 542,664 as of 2015.']","Vilnius ([ˈvʲɪlʲnʲʊs]; Polish: Vilnius, see also other names) is the capital of Lithuania and its largest city, with a population of 542,664 as of 2015.",,
219,Brussels-Capital Region,The capital of [X] is [Y] .,Brussels,"However, several municipalities outside of the Brussels-Capital Region have been merged with the City of [MASK] throughout its history including Laken, Haren, and Neder-Over-Heembeek, which were merged into the City of Brussels in 1921.","However, several municipalities outside of the Brussels-Capital Region have been merged with the City of Brussels throughout its history including Laken, Haren, and Neder-Over-Heembeek, which were merged into the City of Brussels in 1921.","['however several municipalities outside of brussels-capital region have been merged with the city of brussels throughout its history including laken haren and neder-over-heembeek which were merged into the city of brussels in 1921', 'however several municipalities outside the brussels-capital region have been merged with the city of brussels throughout its history including laken haren and neder-over-heembeek which were merged into the city of brussels in 1921']",however several municipalities outside of Brussels-capital region have been merged with the city of Brussels throughout its history including laken haren and neder-over-heembeek which were merged into the city of [MASK] in 1921,however several municipalities outside the Brussels-capital region have been merged with the city of Brussels throughout its history including laken haren and neder-over-heembeek which were merged into the city of [MASK] in 1921,
220,Saskatchewan,The capital of [X] is [Y] .,Regina,"Kelliher is a village in the Canadian province of Saskatchewan, about 140 km north of the capital [MASK].","Kelliher is a village in the Canadian province of Saskatchewan, about 140 km north of the capital Regina.",['kelliher is a village in the canadian province of saskatchewan about 140 km north of the capital regina'],kelliher is a village in the Regina province of saskatchewan about 140 km north of the capital [MASK],,
221,Tehran Province,The capital of [X] is [Y] .,Tehran,[MASK] (About this sound pronunciation ; Persian: Tehrān – تهران) is the capital of Iran and Tehran Province.,Tehran (About this sound pronunciation ; Persian: Tehrān – تهران) is the capital of Iran and Tehran Province.,['Tehran (About this sound pronunciation ; Persian: Tehrān – تهران) is the capital of Iran and Tehran Province.'],Tehran (About this sound pronunciation ; Persian: Tehrān – تهران) is the capital of Iran and Tehran Province.,,
222,Kiev-Sviatoshyn Raion,The capital of [X] is [Y] .,Kiev,"Kiev Chaika Airfield (Ukrainian: Аеродром „Київ Чайка”, also given as [MASK] West) is an airport in Ukraine located in Petropavlivs'ka Borshchahivka (Kiev-Sviatoshyn Raion), about 15 km (9 mi) west of Kiev.","Kiev Chaika Airfield (Ukrainian: Аеродром „Київ Чайка”, also given as Kiev West) is an airport in Ukraine located in Petropavlivs'ka Borshchahivka (Kiev-Sviatoshyn Raion), about 15 km (9 mi) west of Kiev.","[""Kiev Chaika Airfield (Ukrainian: Аеродром „Київ Чайка”, also given as Kiev West) is an airport in Ukraine located in Petropavlivs'ka Borshchahivka (Kiev-Sviatoshyn Raion), about 15 km (9 mi) west of Kiev.""]","Kiev Chaika Airfield (Ukrainian: Аеродром „Київ Чайка”, also given as Kiev West) is an airport in Ukraine located in Petropavlivs'ka Borshchahivka (Kiev-Sviatoshyn Raion), about 15 km (9 mi) west of Kiev.",,
223,Emilia-Romagna,The capital of [X] is [Y] .,Bologna,"Campini was born at [MASK], Emilia-Romagna.","Campini was born at Bologna, Emilia-Romagna.",['campini was born in bologna emilia-romagna'],campini was born in [MASK] emilia-romagna,,
224,Khedivate of Egypt,The capital of [X] is [Y] .,Cairo,He defended Ahmed ‘Urabi (Arabi Pascha) in [MASK] when he was tried by the restored Khedivate on 3 December 1882 following the ‘Urabi Revolt which had led to the Anglo-Egyptian War.,He defended Ahmed ‘Urabi (Arabi Pascha) in Cairo when he was tried by the restored Khedivate on 3 December 1882 following the ‘Urabi Revolt which had led to the Anglo-Egyptian War.,"['he defended ahmed urabi arabi pascha in cairo when he was tried on 3 december 1882 following the urabi revolt which led to the anglo-egyptian war by the restored khedivate', 'he defended ahmed urabi arabi pascha in cairo when he was tried on 3 december 1882 in the aftermath of the urabi revolt which led to the anglo-egyptian war']",he defended ahmed urabi arabi pascha in [MASK] when he was tried on 3 december 1882 following the urabi revolt which led to the anglo-egyptian war by the restored khedivate,he defended ahmed urabi arabi pascha in [MASK] when he was tried on 3 december 1882 in the aftermath of the urabi revolt which led to the anglo-egyptian war,
225,Calloway County,The capital of [X] is [Y] .,Murray,Calloway County comprises the [MASK] Micropolitan Statistical Area.,Calloway County comprises the Murray Micropolitan Statistical Area.,"['calloway county is located within the murray micropolitan statistical area', 'calloway county contains the murray micropolitan statistical area', 'calloway county comprises the murray micropolitan statistical area']",calloway county is located within the [MASK] micropolitan statistical area,calloway county contains the [MASK] micropolitan statistical area,calloway county comprises the [MASK] micropolitan statistical area
