,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0
247,Ludvig Norman,[X] died in [Y] .,Stockholm,Norman was born Fredrik Vilhelm Ludvig Norman in [MASK].,Norman was born Fredrik Vilhelm Ludvig Norman in Stockholm.,"['fredrik vilhelm ludvig norman was born in stockholm fredrik norman', 'fredrik vilhelm ludvig norman was born in stockholm']","['fredrik vilhelm ludvig norman was born in stockholm fredrik norman', 'fredrik vilhelm ludvig norman was born in stockholm']"
248,Antisthenes,[X] died in [Y] .,Athens,"He was owned by the bankers Antisthenes and Archestratus, who had a bank at the Piraeus, the harbor five miles out of [MASK].","He was owned by the bankers Antisthenes and Archestratus, who had a bank at the Piraeus, the harbor five miles out of Athens.","['He was owned by the bankers Antisthenes and Archestratus, who had a bank at the Piraeus, the harbor five miles out of Athens.']","['He was owned by the bankers Antisthenes and Archestratus, who had a bank at the Piraeus, the harbor five miles out of Athens.']"
249,Giovanni Ambrogio Figino,[X] died in [Y] .,Milan,Giovanni Ambrogio Figino (1548/1551 – 11 October 1608) was an Italian Renaissance painter from [MASK].,Giovanni Ambrogio Figino (1548/1551 – 11 October 1608) was an Italian Renaissance painter from Milan.,['Giovanni Ambrogio Figino (1548/1551 – 11 October 1608) was an Italian Renaissance painter from Milan.'],['Giovanni Ambrogio Figino (1548/1551 – 11 October 1608) was an Italian Renaissance painter from Milan.']
250,Anita Berber,[X] died in [Y] .,Berlin,"The film follows an elderly delusional woman who thinks she is Anita Berber (1899-1928), a German dancer who, with her partner, Sebastian Droste, came to represent the decadence of 1920's [MASK] with their nude dancing, their cocaine habits and their uninhibited sex lives.","The film follows an elderly delusional woman who thinks she is Anita Berber (1899-1928), a German dancer who, with her partner, Sebastian Droste, came to represent the decadence of 1920's Berlin with their nude dancing, their cocaine habits and their uninhibited sex lives.","[""The film follows an elderly delusional woman who thinks she is Anita Berber (1899-1928), a German dancer who, with her partner, Sebastian Droste, came to represent the decadence of 1920's Berlin with their nude dancing, their cocaine habits and their uninhibited sex lives.""]","[""The film follows an elderly delusional woman who thinks she is Anita Berber (1899-1928), a German dancer who, with her partner, Sebastian Droste, came to represent the decadence of 1920's Berlin with their nude dancing, their cocaine habits and their uninhibited sex lives.""]"
251,Frederic William Burton,[X] died in [Y] .,London,Sir Frederic William Burton RHA (8 April 1816 in Wicklow – 16 March 1900 in [MASK]) was an Irish painter born in Co.,Sir Frederic William Burton RHA (8 April 1816 in Wicklow – 16 March 1900 in London) was an Irish painter born in Co.,['Sir Frederic William Burton RHA (8 April 1816 in Wicklow – 16 March 1900 in London) was an Irish painter born in Co.'],['Sir Frederic William Burton RHA (8 April 1816 in Wicklow – 16 March 1900 in London) was an Irish painter born in Co.']
252,Johann Ernst von Thun,[X] died in [Y] .,Salzburg,"Johann Ernst von Thun (July 3, 1643, Graz, Austria - April 20, 1709, [MASK], Austria) was prince-archbishop of Salzburg, Austria, from 1687 to 1709.","Johann Ernst von Thun (July 3, 1643, Graz, Austria - April 20, 1709, Salzburg, Austria) was prince-archbishop of Salzburg, Austria, from 1687 to 1709.","['Johann Ernst von Thun (July 3, 1643, Graz, Austria - April 20, 1709, Salzburg, Austria) was prince-archbishop of Salzburg, Austria, from 1687 to 1709.']","['Johann Ernst von Thun (July 3, 1643, Graz, Austria - April 20, 1709, Salzburg, Austria) was prince-archbishop of Salzburg, Austria, from 1687 to 1709.']"
253,Henry Jacob Bigelow,[X] died in [Y] .,Newton,Henry Jacob Bigelow House at 72-80 Ober Road in [MASK] is one of the last private residences designed by noted American architect Henry Hobson Richardson.,Henry Jacob Bigelow House at 72-80 Ober Road in Newton is one of the last private residences designed by noted American architect Henry Hobson Richardson.,"['henry jacob bigelow house at 72 80 ober road in newton is one of the last private residences designed by the noted american architect henry hobson richardson', 'henry jacob bigelow house at 72-80 ober road in newton is one of the last private residences designed by noted american architect henry hobson richardson']","['henry jacob bigelow house at 72 80 ober road in newton is one of the last private residences designed by the noted american architect henry hobson richardson', 'henry jacob bigelow house at 72-80 ober road in newton is one of the last private residences designed by noted american architect henry hobson richardson']"
254,Ibn Yunus,[X] died in [Y] .,Cairo,"Important scholars and scientists who flourished in the year 1000 include Ibn al-Haytham (Alhacen), Abu Rayhan al-Biruni, Avicenna, Abu al-Qasim (Abulcasis), Ibn Yunus (publishes his astronomical treatise Al-Zij al-Hakimi al-Kabir in [MASK] in c.","Important scholars and scientists who flourished in the year 1000 include Ibn al-Haytham (Alhacen), Abu Rayhan al-Biruni, Avicenna, Abu al-Qasim (Abulcasis), Ibn Yunus (publishes his astronomical treatise Al-Zij al-Hakimi al-Kabir in Cairo in c.","['Important scholars and scientists who flourished in the year 1000 include Ibn al-Haytham (Alhacen), Abu Rayhan al-Biruni, Avicenna, Abu al-Qasim (Abulcasis), Ibn Yunus (publishes his astronomical treatise Al-Zij al-Hakimi al-Kabir in Cairo in c.']","['Important scholars and scientists who flourished in the year 1000 include Ibn al-Haytham (Alhacen), Abu Rayhan al-Biruni, Avicenna, Abu al-Qasim (Abulcasis), Ibn Yunus (publishes his astronomical treatise Al-Zij al-Hakimi al-Kabir in Cairo in c.']"
255,Charles-Auguste Questel,[X] died in [Y] .,Paris,"""Fritz"" Bluntschli commenced his architectural education in 1860 at the Zurich Polytechnikum (now ETH) under Gottfried Semper, and later (1864) attended the École des Beaux-Arts in [MASK] in the atelier of Charles-Auguste Questel.","""Fritz"" Bluntschli commenced his architectural education in 1860 at the Zurich Polytechnikum (now ETH) under Gottfried Semper, and later (1864) attended the École des Beaux-Arts in Paris in the atelier of Charles-Auguste Questel.",['fritz bluntschli began his architectural education at the zurich polytechnikum now eth under gottfried semper in 1860 and later attended the cole des beaux-arts in paris in the atelier of charles-auguste questel'],['fritz bluntschli began his architectural education at the zurich polytechnikum now eth under gottfried semper in 1860 and later attended the cole des beaux-arts in paris in the atelier of charles-auguste questel']
256,Anthony Asquith,[X] died in [Y] .,London,"In addition to being regular silent film accompanist at [MASK]'s National Film Theatre, Brand has composed new scores for two recently restored films from the 1920s, namely The Wrecker and Anthony Asquith's Underground.","In addition to being regular silent film accompanist at London's National Film Theatre, Brand has composed new scores for two recently restored films from the 1920s, namely The Wrecker and Anthony Asquith's Underground.","[""brand has composed new music for two recently restored films from the 1920s namely the wrecker and anthony asquith's underground in addition to being a regular silent film accompanist at london's national film theatre"", 'in addition to being an regular silent film accompanist at the london national film theatre brand has composed new scores for two recently restored films from the 1920s namely the wrecker and anthony asquith underground', ""in addition to being regular silent film accompanist at london's national film theatre brand has composed new scores for two recently restored films from the 1920s namely the wrecker and anthony asquith's underground""]","[""brand has composed new music for two recently restored films from the 1920s namely the wrecker and anthony asquith's underground in addition to being a regular silent film accompanist at london's national film theatre"", 'in addition to being an regular silent film accompanist at the london national film theatre brand has composed new scores for two recently restored films from the 1920s namely the wrecker and anthony asquith underground', ""in addition to being regular silent film accompanist at london's national film theatre brand has composed new scores for two recently restored films from the 1920s namely the wrecker and anthony asquith's underground""]"
257,Joseph Cafasso,[X] died in [Y] .,Turin,Joseph Cafasso (Italian: Giuseppe Cafasso; 15 January 1811 – 23 June 1860) was an Italian Catholic priest who was a significant social reformer in early 19th-century [MASK].,Joseph Cafasso (Italian: Giuseppe Cafasso; 15 January 1811 – 23 June 1860) was an Italian Catholic priest who was a significant social reformer in early 19th-century Turin.,['Joseph Cafasso (Italian: Giuseppe Cafasso; 15 January 1811 – 23 June 1860) was an Italian Catholic priest who was a significant social reformer in early 19th-century Turin.'],['Joseph Cafasso (Italian: Giuseppe Cafasso; 15 January 1811 – 23 June 1860) was an Italian Catholic priest who was a significant social reformer in early 19th-century Turin.']
258,Annemarie Wendl,[X] died in [Y] .,Munich,"Annemarie Wendl (26 December 1914, Trostberg, Upper Bavaria, Bavaria – 3 September 2006, [MASK], Bavaria, Germany) was a German actress.","Annemarie Wendl (26 December 1914, Trostberg, Upper Bavaria, Bavaria – 3 September 2006, Munich, Bavaria, Germany) was a German actress.","['Annemarie Wendl (26 December 1914, Trostberg, Upper Bavaria, Bavaria – 3 September 2006, Munich, Bavaria, Germany) was a German actress.']","['Annemarie Wendl (26 December 1914, Trostberg, Upper Bavaria, Bavaria – 3 September 2006, Munich, Bavaria, Germany) was a German actress.']"
259,Johann Andreas Eisenmenger,[X] died in [Y] .,Heidelberg,"Johann Andreas Eisenmenger (Mannheim, 1654 – [MASK], December 20, 1704) was a German Orientalist from the Electoral Palatinate, now best known as the author of Entdecktes Judenthum (Judaism Unmasked).","Johann Andreas Eisenmenger (Mannheim, 1654 – Heidelberg, December 20, 1704) was a German Orientalist from the Electoral Palatinate, now best known as the author of Entdecktes Judenthum (Judaism Unmasked).","['Johann Andreas Eisenmenger (Mannheim, 1654 – Heidelberg, December 20, 1704) was a German Orientalist from the Electoral Palatinate, now best known as the author of Entdecktes Judenthum (Judaism Unmasked).']","['Johann Andreas Eisenmenger (Mannheim, 1654 – Heidelberg, December 20, 1704) was a German Orientalist from the Electoral Palatinate, now best known as the author of Entdecktes Judenthum (Judaism Unmasked).']"
260,Hermann Samuel Reimarus,[X] died in [Y] .,Hamburg,"Elise Reimarus (22 January 1735, [MASK], as Margaretha Elisabeth Reimarus – 2 September 1805, Hamburg) was a German writer, educator, translator and salon-holder.","Elise Reimarus (22 January 1735, Hamburg, as Margaretha Elisabeth Reimarus – 2 September 1805, Hamburg) was a German writer, educator, translator and salon-holder.","['Elise Reimarus (22 January 1735, Hamburg, as Margaretha Elisabeth Reimarus – 2 September 1805, Hamburg) was a German writer, educator, translator and salon-holder.']","['Elise Reimarus (22 January 1735, Hamburg, as Margaretha Elisabeth Reimarus – 2 September 1805, Hamburg) was a German writer, educator, translator and salon-holder.']"
261,Max Ernst,[X] died in [Y] .,Paris,"In 1922, after Bessarabia had become part of Romania, Michonze moved to [MASK] and met Max Ernst who later introduced him to the Surrealists, notably André Breton, Paul Éluard, Yves Tanguy and André Masson.","In 1922, after Bessarabia had become part of Romania, Michonze moved to Paris and met Max Ernst who later introduced him to the Surrealists, notably André Breton, Paul Éluard, Yves Tanguy and André Masson.",,
262,Maria Grinberg,[X] died in [Y] .,Tallinn,"[citation needed] Maria Grinberg died on the 14 July 1978, in [MASK], Estonia, ten weeks before her seventieth birthday.","[citation needed] Maria Grinberg died on the 14 July 1978, in Tallinn, Estonia, ten weeks before her seventieth birthday.","['citation required maria grinberg died in tallinn estonia on july 14 1978 ten weeks before her seventieth birthday', 'citation needed maria grinberg died in tallinn estonia on 14 july 1978 ten weeks before her seventieth birthday']","['citation required maria grinberg died in tallinn estonia on july 14 1978 ten weeks before her seventieth birthday', 'citation needed maria grinberg died in tallinn estonia on 14 july 1978 ten weeks before her seventieth birthday']"
263,Antonio Ozores Puchol,[X] died in [Y] .,Madrid,"Antonio Ozores Puchol (24 August 1928, Burjassot – 12 May 2010, [MASK]) was a Spanish actor.","Antonio Ozores Puchol (24 August 1928, Burjassot – 12 May 2010, Madrid) was a Spanish actor.","['Antonio Ozores Puchol (24 August 1928, Burjassot – 12 May 2010, Madrid) was a Spanish actor.']","['Antonio Ozores Puchol (24 August 1928, Burjassot – 12 May 2010, Madrid) was a Spanish actor.']"
264,Pier Francesco Mola,[X] died in [Y] .,Rome,"Two years later Bulgarini sponsored his travel to [MASK], and introduced him to his future mentors, Pier Francesco Mola and Pietro da Cortona.","Two years later Bulgarini sponsored his travel to Rome, and introduced him to his future mentors, Pier Francesco Mola and Pietro da Cortona.","['two years later bulgarini sponsored his travels to rome and introduced him to his future mentors pier francesco mola and pietro da cortona', 'two years later bulgarini sponsored his travel to rome and introduced him to his future mentors pier francesco mola and pietro da cortona']","['two years later bulgarini sponsored his travels to rome and introduced him to his future mentors pier francesco mola and pietro da cortona', 'two years later bulgarini sponsored his travel to rome and introduced him to his future mentors pier francesco mola and pietro da cortona']"
265,Charlie Byrd,[X] died in [Y] .,Annapolis,"At that time, the Quintet disbanded, and played again only for a single concert in December 2000 in [MASK] to honor the late jazz guitar legend Charlie Byrd.","At that time, the Quintet disbanded, and played again only for a single concert in December 2000 in Annapolis to honor the late jazz guitar legend Charlie Byrd.","['the quintet disbanded at that time and played again only for a single concert in december 2000 in annapolis to honor the late jazz guitar legend charlie byrd', 'at that time the quintet disbanded and played again only for a single concert in december 2000 in annapolis to honor the late jazz guitar legend charlie difference']","['the quintet disbanded at that time and played again only for a single concert in december 2000 in annapolis to honor the late jazz guitar legend charlie byrd', 'at that time the quintet disbanded and played again only for a single concert in december 2000 in annapolis to honor the late jazz guitar legend charlie difference']"
266,Lai Teck,[X] died in [Y] .,Bangkok,"According to Chin Peng, Lai Teck was killed in [MASK] some time in 1947 when Thai Communists tried to capture him.","According to Chin Peng, Lai Teck was killed in Bangkok some time in 1947 when Thai Communists tried to capture him.","['according to chin peng lai teck was killed in bangkok in 1947 when thai communists tried to capture him', 'according to chin peng lai teck was killed in bangkok some time in 1947 when thai communists tried to capture him']","['according to chin peng lai teck was killed in bangkok in 1947 when thai communists tried to capture him', 'according to chin peng lai teck was killed in bangkok some time in 1947 when thai communists tried to capture him']"
267,Vincent Strambi,[X] died in [Y] .,Rome,"Saint Vincent Strambi born Vincenzo Domenico Salvatore Strambi (January 1, 1745 in Civitavecchia, Italy – January 1, 1824 in [MASK]), was a Catholic bishop who was a member of the Passionist Congregation.","Saint Vincent Strambi born Vincenzo Domenico Salvatore Strambi (January 1, 1745 in Civitavecchia, Italy – January 1, 1824 in Rome), was a Catholic bishop who was a member of the Passionist Congregation.","['Saint Vincent Strambi born Vincenzo Domenico Salvatore Strambi (January 1, 1745 in Civitavecchia, Italy – January 1, 1824 in Rome), was a Catholic bishop who was a member of the Passionist Congregation.']","['Saint Vincent Strambi born Vincenzo Domenico Salvatore Strambi (January 1, 1745 in Civitavecchia, Italy – January 1, 1824 in Rome), was a Catholic bishop who was a member of the Passionist Congregation.']"
268,Edmund Fetting,[X] died in [Y] .,Warsaw,"Edmund Fetting (10 November 1927, in [MASK], Poland – 30 January 2001 there) was a Polish film and theatrical actor and occasional singer.","Edmund Fetting (10 November 1927, in Warsaw, Poland – 30 January 2001 there) was a Polish film and theatrical actor and occasional singer.","['Edmund Fetting (10 November 1927, in Warsaw, Poland – 30 January 2001 there) was a Polish film and theatrical actor and occasional singer.']","['Edmund Fetting (10 November 1927, in Warsaw, Poland – 30 January 2001 there) was a Polish film and theatrical actor and occasional singer.']"
269,Finn Malmgren,[X] died in [Y] .,Arctic,Finn Malmgrenfjorden is named after [MASK] explorer Finn Malmgren.,Finn Malmgrenfjorden is named after Arctic explorer Finn Malmgren.,['finn malmgrenfjorden is named after the arctic explorer finn malmgren'],['finn malmgrenfjorden is named after the arctic explorer finn malmgren']
270,Anthony Veiller,[X] died in [Y] .,Hollywood,"Anthony Veiller (23 June 1903, in New York, New York – 27 June 1965, in [MASK]) was an American screenwriter and film producer.","Anthony Veiller (23 June 1903, in New York, New York – 27 June 1965, in Hollywood) was an American screenwriter and film producer.","['Anthony Veiller (23 June 1903, in New York, New York – 27 June 1965, in Hollywood) was an American screenwriter and film producer.']","['Anthony Veiller (23 June 1903, in New York, New York – 27 June 1965, in Hollywood) was an American screenwriter and film producer.']"
271,Mattheus Ignatius van Bree,[X] died in [Y] .,Antwerp,"Mattheus Ignatius van Bree ([MASK] , 1773 - Antwerp, 1839) was a Belgian painter.","Mattheus Ignatius van Bree (Antwerp , 1773 - Antwerp, 1839) was a Belgian painter.","['Mattheus Ignatius van Bree (Antwerp , 1773 - Antwerp, 1839) was a Belgian painter.']","['Mattheus Ignatius van Bree (Antwerp , 1773 - Antwerp, 1839) was a Belgian painter.']"
272,Natalie Clifford Barney,[X] died in [Y] .,Paris,"Ladies Almanack, or Ladies Almanack: showing their Signs and their Tides; their Moons and their Changes; the Seasons as it is with them; their Eclipses and Equinoxes; as well as a full Record of diurnal and nocturnal Distempers, written & illustrated by a lady of fashion, written by Djuna Barnes in 1928, is a roman à clef about a predominantly lesbian social circle centering on Natalie Clifford Barney's salon in [MASK].","Ladies Almanack, or Ladies Almanack: showing their Signs and their Tides; their Moons and their Changes; the Seasons as it is with them; their Eclipses and Equinoxes; as well as a full Record of diurnal and nocturnal Distempers, written & illustrated by a lady of fashion, written by Djuna Barnes in 1928, is a roman à clef about a predominantly lesbian social circle centering on Natalie Clifford Barney's salon in Paris.","[""Ladies Almanack, or Ladies Almanack: showing their Signs and their Tides; their Moons and their Changes; the Seasons as it is with them; their Eclipses and Equinoxes; as well as a full Record of diurnal and nocturnal Distempers, written & illustrated by a lady of fashion, written by Djuna Barnes in 1928, is a roman à clef about a predominantly lesbian social circle centering on Natalie Clifford Barney's salon in Paris.""]","[""Ladies Almanack, or Ladies Almanack: showing their Signs and their Tides; their Moons and their Changes; the Seasons as it is with them; their Eclipses and Equinoxes; as well as a full Record of diurnal and nocturnal Distempers, written & illustrated by a lady of fashion, written by Djuna Barnes in 1928, is a roman à clef about a predominantly lesbian social circle centering on Natalie Clifford Barney's salon in Paris.""]"
273,Anna Magdalena Bach,[X] died in [Y] .,Leipzig,"Gottfried Heinrich Bach (26 February 1724 – 12 February 1763) was the firstborn son of Johann Sebastian Bach by his second wife Anna Magdalena Wilcke.Born in [MASK], Gottfried Heinrich became ""feeble-minded"" (mildly mentally handicapped in some way) at an early age, but he played the keyboard well and C. P. E. Bach is quoted as saying that he showed ""a great genius, which however failed to develop"".","Gottfried Heinrich Bach (26 February 1724 – 12 February 1763) was the firstborn son of Johann Sebastian Bach by his second wife Anna Magdalena Wilcke.Born in Leipzig, Gottfried Heinrich became ""feeble-minded"" (mildly mentally handicapped in some way) at an early age, but he played the keyboard well and C. P. E. Bach is quoted as saying that he showed ""a great genius, which however failed to develop"".",,
274,V. Shantaram,[X] died in [Y] .,Mumbai,"This vachanalya is founded by Aronda Gamonnati Mandal, a social registered organization established in 1947, in [MASK], by Gangadhar Rege and Anant Shantaram Rege as Secretary(a wellknown social worker) and other 15members in Girgaon, Mumbai a for the welfare of residents of Aronda.","This vachanalya is founded by Aronda Gamonnati Mandal, a social registered organization established in 1947, in Mumbai, by Gangadhar Rege and Anant Shantaram Rege as Secretary(a wellknown social worker) and other 15members in Girgaon, Mumbai a for the welfare of residents of Aronda.",,
275,Jack Wong Sue,[X] died in [Y] .,Perth,"Jack Wong Sue （黃如彩）OAM, DCM, JP (12 September 1925 – 16 November 2009), also known as Jack Sue, was a Chinese Australian from [MASK].","Jack Wong Sue （黃如彩）OAM, DCM, JP (12 September 1925 – 16 November 2009), also known as Jack Sue, was a Chinese Australian from Perth.","['Jack Wong Sue （黃如彩）OAM, DCM, JP (12 September 1925 – 16 November 2009), also known as Jack Sue, was a Chinese Australian from Perth.']","['Jack Wong Sue （黃如彩）OAM, DCM, JP (12 September 1925 – 16 November 2009), also known as Jack Sue, was a Chinese Australian from Perth.']"
276,Anthonie van Borssom,[X] died in [Y] .,Amsterdam,"Anthonie van Borssom (January 2, 1631 in [MASK] – March 19, 1677 in Amsterdam), was a Dutch Golden Age landscape painter.","Anthonie van Borssom (January 2, 1631 in Amsterdam – March 19, 1677 in Amsterdam), was a Dutch Golden Age landscape painter.","['Anthonie van Borssom (January 2, 1631 in Amsterdam – March 19, 1677 in Amsterdam), was a Dutch Golden Age landscape painter.']","['Anthonie van Borssom (January 2, 1631 in Amsterdam – March 19, 1677 in Amsterdam), was a Dutch Golden Age landscape painter.']"
277,"George Cadogan, 5th Earl Cadogan",[X] died in [Y] .,London,"Holy Trinity Sloane Street (The Church of the Holy and Undivided Trinity with Saint Jude, Upper Chelsea, sometimes known as Holy Trinity Sloane Square) is a [MASK] Anglican parish church, built in 1888-90 at the south-eastern side of Sloane Street to a striking Arts and Crafts design by the architect John Dando Sedding at the cost of the 5th Earl Cadogan, in whose London estate it lay.","Holy Trinity Sloane Street (The Church of the Holy and Undivided Trinity with Saint Jude, Upper Chelsea, sometimes known as Holy Trinity Sloane Square) is a London Anglican parish church, built in 1888-90 at the south-eastern side of Sloane Street to a striking Arts and Crafts design by the architect John Dando Sedding at the cost of the 5th Earl Cadogan, in whose London estate it lay.",,
278,Mendi Rodan,[X] died in [Y] .,Jerusalem,"Volkov studied with the conductor Mendi Rodan at the Rubin Academy in [MASK], before continuing at the Royal Academy of Music in London.","Volkov studied with the conductor Mendi Rodan at the Rubin Academy in Jerusalem, before continuing at the Royal Academy of Music in London.","['volkov studied under conductor mendi rodan at the rubin academy in jerusalem before continuing to the royal academy of music in london', 'volkov studied with the conductor mendi rodan at the rubin academy in jerusalem before continuing to study at the royal academy of music in london', 'volkov studied under the conductor mendi rodan at the rubin academy in jerusalem before continuing to the royal academy of music in london']","['volkov studied under conductor mendi rodan at the rubin academy in jerusalem before continuing to the royal academy of music in london', 'volkov studied with the conductor mendi rodan at the rubin academy in jerusalem before continuing to study at the royal academy of music in london', 'volkov studied under the conductor mendi rodan at the rubin academy in jerusalem before continuing to the royal academy of music in london']"
279,Georges Couthon,[X] died in [Y] .,Paris,"He attacked Maximilien de Robespierre on 9 thermidor, year II (27 July 1794) and demanded the arrest of Georges Couthon and Louis Antoine Léon de Saint-Just without accusing members of the Commune of [MASK].","He attacked Maximilien de Robespierre on 9 thermidor, year II (27 July 1794) and demanded the arrest of Georges Couthon and Louis Antoine Léon de Saint-Just without accusing members of the Commune of Paris.",,
280,Martin Buber,[X] died in [Y] .,Jerusalem,"(Gedalyah) Stroumsa (in Hebrew: גי (גדליה) סטרומזה ; born 27 July 1948 in Paris) is Martin Buber Professor Emeritus of Comparative Religion at the Hebrew University of [MASK] and Emeritus Professor of the Study of the Abrahamic Religions at the University of Oxford, where he is an Emeritus Fellow of Lady Margaret Hall.","(Gedalyah) Stroumsa (in Hebrew: גי (גדליה) סטרומזה ; born 27 July 1948 in Paris) is Martin Buber Professor Emeritus of Comparative Religion at the Hebrew University of Jerusalem and Emeritus Professor of the Study of the Abrahamic Religions at the University of Oxford, where he is an Emeritus Fellow of Lady Margaret Hall.",['gedalyah stroumsa born july 27 1948 in paris is martin buber professor emeritus of comparative religion at the hebrew university of jerusalem and emeritus professor of the study of the abrahamic religions at the university of oxford where he is emeritus fellow'],['gedalyah stroumsa born july 27 1948 in paris is martin buber professor emeritus of comparative religion at the hebrew university of jerusalem and emeritus professor of the study of the abrahamic religions at the university of oxford where he is emeritus fellow']
281,Joseph Goebbels,[X] died in [Y] .,Berlin,"At the City Commandant's office, Hayessen then took part in the preparations to occupy the radio building in [MASK] and to arrest Propaganda Minister Joseph Goebbels.","At the City Commandant's office, Hayessen then took part in the preparations to occupy the radio building in Berlin and to arrest Propaganda Minister Joseph Goebbels.","[""hayessen then took part in the preparations for the occupation of the radio station in berlin and the arrest of propaganda minister joseph goebbels at the city commandant's office"", ""hayessen then took part in the preparations for the occupation of the radio building in berlin and for the arrest of the propaganda minister joseph goebbels in the city commander's office"", ""hayessen then took part in preparations at the city commandant's office to occupy the radio building in berlin and to arrest propaganda minister joseph goebbels""]","[""hayessen then took part in the preparations for the occupation of the radio station in berlin and the arrest of propaganda minister joseph goebbels at the city commandant's office"", ""hayessen then took part in the preparations for the occupation of the radio building in berlin and for the arrest of the propaganda minister joseph goebbels in the city commander's office"", ""hayessen then took part in preparations at the city commandant's office to occupy the radio building in berlin and to arrest propaganda minister joseph goebbels""]"
282,David d'Angers,[X] died in [Y] .,Paris,"Jean-Jules Allasseur (13 June 1818 — 1903) was a French sculptor, a pupil of Pierre-Jean David called David d'Angers at the École des Beaux-Arts, [MASK], who produced portrait sculptures, memorial allegories and decorative architectural sculpture for official commissions under the Second Empire.","Jean-Jules Allasseur (13 June 1818 — 1903) was a French sculptor, a pupil of Pierre-Jean David called David d'Angers at the École des Beaux-Arts, Paris, who produced portrait sculptures, memorial allegories and decorative architectural sculpture for official commissions under the Second Empire.",,
283,Josephus Nicolaus Laurenti,[X] died in [Y] .,Vienna,"Josephus Nicolaus Laurenti (4 December 1735, [MASK] – 17 February 1805, Vienna) was an Austrian naturalist and zoologist of Italian origin.","Josephus Nicolaus Laurenti (4 December 1735, Vienna – 17 February 1805, Vienna) was an Austrian naturalist and zoologist of Italian origin.","['Josephus Nicolaus Laurenti (4 December 1735, Vienna – 17 February 1805, Vienna) was an Austrian naturalist and zoologist of Italian origin.']","['Josephus Nicolaus Laurenti (4 December 1735, Vienna – 17 February 1805, Vienna) was an Austrian naturalist and zoologist of Italian origin.']"
284,Jacob Katz,[X] died in [Y] .,Jerusalem,"and PhD at the Hebrew University in [MASK], under the historian Professor Jacob Katz.","and PhD at the Hebrew University in Jerusalem, under the historian Professor Jacob Katz.","['and PhD at the Hebrew University in Jerusalem, under the historian Professor Jacob Katz.']","['and PhD at the Hebrew University in Jerusalem, under the historian Professor Jacob Katz.']"
285,Gellu Naum,[X] died in [Y] .,Bucharest,"In 1941, Trost and Luca were among the founders of the [MASK] group of surrealists, which also included Gellu Naum, Paul Păun, and Virgil Theodorescu.","In 1941, Trost and Luca were among the founders of the Bucharest group of surrealists, which also included Gellu Naum, Paul Păun, and Virgil Theodorescu.","['trost and luca were among the founders of the group of surrealists from bucharest in 1941 that also included virgil theodorescu paul pun and gellu naum', 'trost and luca were among the founders of the group of surrealists from bucharest in 1941 which also included gellu naum paul pun and virgil theodorescu']","['trost and luca were among the founders of the group of surrealists from bucharest in 1941 that also included virgil theodorescu paul pun and gellu naum', 'trost and luca were among the founders of the group of surrealists from bucharest in 1941 which also included gellu naum paul pun and virgil theodorescu']"
286,Montesquieu,[X] died in [Y] .,Paris,"The Correspondance inédite of Madame du Deffand with D'Alembert, Hénault, Montesquieu, and others was published in [MASK] (2 vols.)","The Correspondance inédite of Madame du Deffand with D'Alembert, Hénault, Montesquieu, and others was published in Paris (2 vols.)","[""the correspondance indite of madame du deffand with d'alembert hnault montesquieu and others was published in 2 vols in paris"", ""the correspondance de madame du deffand with d'alembert hnault montesquieu and others was published in paris in 2 vols""]","[""the correspondance indite of madame du deffand with d'alembert hnault montesquieu and others was published in 2 vols in paris"", ""the correspondance de madame du deffand with d'alembert hnault montesquieu and others was published in paris in 2 vols""]"
287,Humphry Marshall,[X] died in [Y] .,Pennsylvania,"The Humphry Marshall House (also called Marshall's Garden, Marshall's Arboretum, and the Botany Farm) in Marshallton, [MASK], in West Bradford Township, Chester County, was the residence of American botanist Humphry Marshall.","The Humphry Marshall House (also called Marshall's Garden, Marshall's Arboretum, and the Botany Farm) in Marshallton, Pennsylvania, in West Bradford Township, Chester County, was the residence of American botanist Humphry Marshall.","[""the humphry marshall house also called marshalls garden marshall's arboretum and botany farm in marshallton pennsylvania west bradford township chester county was the residence of the american botanist humphry marshall"", ""the humphry marshall house also called marshall's garden marshall's arboretum and the botany farm in marshallton pennsylvania in west bradford township chester county was the residence of the american botanist humphry marshall"", ""the humphry marshall house also called marshall's garden marshall's arboretum and botany farm in marshallton pennsylvania in west bradford township chester county was the residence of american botanist humphry marshall""]","[""the humphry marshall house also called marshalls garden marshall's arboretum and botany farm in marshallton pennsylvania west bradford township chester county was the residence of the american botanist humphry marshall"", ""the humphry marshall house also called marshall's garden marshall's arboretum and the botany farm in marshallton pennsylvania in west bradford township chester county was the residence of the american botanist humphry marshall"", ""the humphry marshall house also called marshall's garden marshall's arboretum and botany farm in marshallton pennsylvania in west bradford township chester county was the residence of american botanist humphry marshall""]"
