obj_label,masked_sentence,masked_sentence_roberta
paris,"He visited Europe from 1819 to 1821 and again in 1824 and settled in [MASK], France, where he died May 2, 1825 .","He visited Europe from 1819 to 1821 and again in 1824 and settled in <mask>, France, where he died May 2, 1825 ."
milan,"After winning a singing competition, he entered the Scuola di Canto of the Teatro alla Scala in [MASK] .","After winning a singing competition, he entered the Scuola di Canto of the Teatro alla Scala in <mask> ."
lyon,She died in [MASK] at age 80 and is buried in Lalouvesc .,She died in <mask> at age 80 and is buried in Lalouvesc .
london,"In 1852 Thompson died of a heart attack in [MASK] where he had been tended by his friends William Yarrell, author of British Birds, Edward Forbes, Edwin Lankester, of the Ray Society and George Busk .","In 1852 Thompson died of a heart attack in <mask> where he had been tended by his friends William Yarrell, author of British Birds, Edward Forbes, Edwin Lankester, of the Ray Society and George Busk ."
lancaster,"Bracken died at [MASK], 13 November 1764 .","Bracken died at <mask>, 13 November 1764 ."
florence,Passignano died at [MASK] in 1638 .,Passignano died at <mask> in 1638 .
jerusalem,"Two years after his death in [MASK], a Jewish woman's teacher training seminary was established in the city and named after him; Machon Gold .","Two years after his death in <mask>, a Jewish woman's teacher training seminary was established in the city and named after him; Machon Gold ."
hollywood,"She died in [MASK] at the age of 80 She was married to Dr John J Harty, who pre-deceased her, and at one time was engaged to Andrés de Segurola .","She died in <mask> at the age of 80 She was married to Dr John J Harty, who pre-deceased her, and at one time was engaged to Andrés de Segurola ."
jerusalem,"Gueron resigned his office in 1872, and proceeded to [MASK], where he died two years later .","Gueron resigned his office in 1872, and proceeded to <mask>, where he died two years later ."
portland,"He died of AIDS complications on April 28, 1994, aged 48, at his home in [MASK] .","He died of AIDS complications on April 28, 1994, aged 48, at his home in <mask> ."
birmingham,"Phipps died on January 10, 2009 in a [MASK] hospital .","Phipps died on January 10, 2009 in a <mask> hospital ."
omaha,"He died at [MASK] on 15 September 1875, and was buried there .","He died at <mask> on 15 September 1875, and was buried there ."
lithuania,"His place in [MASK]n history is also commemorated by Daukantas Square, facing the Presidential Palace in Vilnius .","His place in <mask>n history is also commemorated by Daukantas Square, facing the Presidential Palace in Vilnius ."
lithuania,"Finally in 1850 he returned to [MASK], where he died on December 6, 1864 .","Finally in 1850 he returned to <mask>, where he died on December 6, 1864 ."
bologna,"He died at [MASK] in 1225, and has left behind him some treatises on procedure .","He died at <mask> in 1225, and has left behind him some treatises on procedure ."
lexington,"He was reelected to the ten succeeding Congresses and served from April 14, 1951, until his death in [MASK], Kentucky, September 24, 1971 .","He was reelected to the ten succeeding Congresses and served from April 14, 1951, until his death in <mask>, Kentucky, September 24, 1971 ."
wilmington,"She died from kidney failure associated with colon cancer, aged 77, in [MASK], Delaware .","She died from kidney failure associated with colon cancer, aged 77, in <mask>, Delaware ."
london,"After twenty-five years of service, he resigned his post on as Alderman of Windsor Ward for Belfast City Council in June 1916 when he was almost 70 years of age and took up residence in [MASK], where he died in 1929 .","After twenty-five years of service, he resigned his post on as Alderman of Windsor Ward for Belfast City Council in June 1916 when he was almost 70 years of age and took up residence in <mask>, where he died in 1929 ."
london,"Appropriately after his death in [MASK], he was placed in a mausoleum at West Norwood Cemetery constructed from red pottery tiles and bricks from the Doulton Works, which is now a Grade II Listed building .","Appropriately after his death in <mask>, he was placed in a mausoleum at West Norwood Cemetery constructed from red pottery tiles and bricks from the Doulton Works, which is now a Grade II Listed building ."
athens,"Pericles Sakellarios died on March 5, 1985 in [MASK] .","Pericles Sakellarios died on March 5, 1985 in <mask> ."
boston,"Marianna Pineda died November 24, 1996 of pancreatic cancer at her home in [MASK] .","Marianna Pineda died November 24, 1996 of pancreatic cancer at her home in <mask> ."
detroit,Helen Sobel Smith died in a [MASK] hospital at the age of 59 after a long battle with cancer .,Helen Sobel Smith died in a <mask> hospital at the age of 59 after a long battle with cancer .
cambridge,"She died in [MASK], Massachusetts on February 6, 2001 .","She died in <mask>, Massachusetts on February 6, 2001 ."
clifton,He died at [MASK] 28 October 1812 .,He died at <mask> 28 October 1812 .
philadelphia,"Leaving active duty on 10 January 1903, Rear Admiral Melville spent his last years in [MASK], Pennsylvania, where he died on 17 March 1912 .","Leaving active duty on 10 January 1903, Rear Admiral Melville spent his last years in <mask>, Pennsylvania, where he died on 17 March 1912 ."
milton,She died in [MASK] at the age of eighty-one .,She died in <mask> at the age of eighty-one .
italy,"Hurlbert denied that he had written a sheaf of salacious letters to his London mistress, Gladys Evelyn, but a British court indicted him for perjury in 1891, and Hurlbert fled incognito to [MASK], where he died in 1895 .","Hurlbert denied that he had written a sheaf of salacious letters to his London mistress, Gladys Evelyn, but a British court indicted him for perjury in 1891, and Hurlbert fled incognito to <mask>, where he died in 1895 ."
vancouver,Jones died at the Glen Hospital in [MASK] at the age of 95 .,Jones died at the Glen Hospital in <mask> at the age of 95 .
brooklyn,"He retired and resided in [MASK], where he died in 1974; interment was in St John's Cemetery, Middle Village .","He retired and resided in <mask>, where he died in 1974; interment was in St John's Cemetery, Middle Village ."
glasgow,"Thomas Henderson died in a [MASK] hospital in January 1960, aged 92 .","Thomas Henderson died in a <mask> hospital in January 1960, aged 92 ."
harrisburg,"In his later years he made his home with his daughter, Elizabeth Montgomery Laird, and her family in [MASK], Pennsylvania .","In his later years he made his home with his daughter, Elizabeth Montgomery Laird, and her family in <mask>, Pennsylvania ."
harrisburg,"When he died in [MASK] on October 14, 1794, he was buried in their family plot in the Lutheran Church Cemetery .","When he died in <mask> on October 14, 1794, he was buried in their family plot in the Lutheran Church Cemetery ."
raleigh,"He was elected as a Nullifier to the Twenty-third Congress and served without having qualified, from March 3, 1833, until his death in [MASK], North Carolina, November 25, 1833, while en route to Washington, D.C .","He was elected as a Nullifier to the Twenty-third Congress and served without having qualified, from March 3, 1833, until his death in <mask>, North Carolina, November 25, 1833, while en route to Washington, D.C ."
miami,"She died November 23, 1972 in [MASK], Florida, United States .","She died November 23, 1972 in <mask>, Florida, United States ."
pittsburgh,"Tannehill died near [MASK] in 1820 at the age of 70 He was survived by his wife, Agness Morgan Tannehill, and his ward, Sydney Tannehill Mountain .","Tannehill died near <mask> in 1820 at the age of 70 He was survived by his wife, Agness Morgan Tannehill, and his ward, Sydney Tannehill Mountain ."
london,"William James Reddin died June 20, 1999 in [MASK] of natural causes at the age of 69 His work and thinking continues to be especially popular in Europe, Latin America, and Canada .","William James Reddin died June 20, 1999 in <mask> of natural causes at the age of 69 His work and thinking continues to be especially popular in Europe, Latin America, and Canada ."
pasadena,"He died at his home in [MASK], California on June 21, 2007 .","He died at his home in <mask>, California on June 21, 2007 ."
naples,"He was a native of Bari, and later moved to [MASK], where he died .","He was a native of Bari, and later moved to <mask>, where he died ."
turin,Vittorio Torre died 16 January 1921 in [MASK] (Italy) was an Italian chess player .,Vittorio Torre died 16 January 1921 in <mask> (Italy) was an Italian chess player .
melbourne,He died at [MASK] on 27 February 1935 .,He died at <mask> on 27 February 1935 .
charlotte,"Smith was reelected to the Sixty-eighth Congress, serving from June 28, 1921, until his death in [MASK] .","Smith was reelected to the Sixty-eighth Congress, serving from June 28, 1921, until his death in <mask> ."
italy,"George's father, Robert Throckmorton, soldier, courtier and Councillor to Henry VII, sent his eldest son to the Middle Temple, which George entered on the same day as a Northamptonshire kinsman, Edmund Knightley; before his death in [MASK] while on pilgrimage to the Holy Land, Sir Robert had seen his son launched at court and in local government and in enjoyment of numerous leases and stewardships .","George's father, Robert Throckmorton, soldier, courtier and Councillor to Henry VII, sent his eldest son to the Middle Temple, which George entered on the same day as a Northamptonshire kinsman, Edmund Knightley; before his death in <mask> while on pilgrimage to the Holy Land, Sir Robert had seen his son launched at court and in local government and in enjoyment of numerous leases and stewardships ."
buffalo,She died in [MASK] on 28 November 1942 and was buried in La Porte .,She died in <mask> on 28 November 1942 and was buried in La Porte .
philadelphia,"Ill health forced his resignation from teaching in 1937, and after years of inactivity he died in [MASK], Pennsylvania of heart disease .","Ill health forced his resignation from teaching in 1937, and after years of inactivity he died in <mask>, Pennsylvania of heart disease ."
bucharest,"Georgescu died in a [MASK] hospital on September 1, 1964 .","Georgescu died in a <mask> hospital on September 1, 1964 ."
bavaria,"In 1226, he became Abbot of the Ursperg Monastery in [MASK], where he died .","In 1226, he became Abbot of the Ursperg Monastery in <mask>, where he died ."
columbus,"Laura Zirbes (April 26, 1884, Buffalo, New York - June 9, 1967, [MASK], Ohio) was an American educator .","Laura Zirbes (April 26, 1884, Buffalo, New York - June 9, 1967, <mask>, Ohio) was an American educator ."
columbus,"She died on June 9, 1967 in [MASK], Ohio .","She died on June 9, 1967 in <mask>, Ohio ."
dallas,"On April 24, 1943, Joe Lawther died at [MASK], Texas .","On April 24, 1943, Joe Lawther died at <mask>, Texas ."
vilnius,Karol Podczaszyński died on April 19 in [MASK] and was interred in Rossa Cemetery .,Karol Podczaszyński died on April 19 in <mask> and was interred in Rossa Cemetery .
manhattan,"Siegel died at the age of 70 on September 13, 1994, at his home in [MASK] due to heart failure .","Siegel died at the age of 70 on September 13, 1994, at his home in <mask> due to heart failure ."
grove,"Bobby Poe died at his home in [MASK], Oklahoma on January 22, 2011 .","Bobby Poe died at his home in <mask>, Oklahoma on January 22, 2011 ."
cheltenham,"He died at [MASK] on 18 November 1843, aged 75 .","He died at <mask> on 18 November 1843, aged 75 ."
manhattan,"Grodd died of cancer at age 86 on May 25, 2010 at his home in [MASK] .","Grodd died of cancer at age 86 on May 25, 2010 at his home in <mask> ."
philadelphia,She remained there for the majority of her life until her death in [MASK] in 1959 .,She remained there for the majority of her life until her death in <mask> in 1959 .
taipei,"Shen died at his home in [MASK] on July 12, 2007, following a lengthy illness .","Shen died at his home in <mask> on July 12, 2007, following a lengthy illness ."
springfield,"He resumed the practice of law in [MASK], Missouri, where he died April 9, 1977 .","He resumed the practice of law in <mask>, Missouri, where he died April 9, 1977 ."
phoenix,"Jay Morago died at the age of 90 at the Veterans Affairs Hospital in [MASK], Arizona, on May 14, 2008, after a long struggle with cancer .","Jay Morago died at the age of 90 at the Veterans Affairs Hospital in <mask>, Arizona, on May 14, 2008, after a long struggle with cancer ."
montreal,"On his death in [MASK] in 1852, 10,000 people attended his funeral .","On his death in <mask> in 1852, 10,000 people attended his funeral ."
paris,Chamson died at [MASK] in 1983 .,Chamson died at <mask> in 1983 .
lisbon,"d'Avila died at [MASK] of a wound infection, during a raid in Portugal .","d'Avila died at <mask> of a wound infection, during a raid in Portugal ."
stafford,"This and other wounds received in the war brought on a fever, of which he died at [MASK] on 24 March 1645 .","This and other wounds received in the war brought on a fever, of which he died at <mask> on 24 March 1645 ."
cincinnati,Deutsch died at his home in [MASK] .,Deutsch died at his home in <mask> .
philadelphia,"Emlen Etting died of Parkinson's disease on July 20, 1993, at his home in [MASK] at the age of 88 .","Emlen Etting died of Parkinson's disease on July 20, 1993, at his home in <mask> at the age of 88 ."
norwich,"He left the FCO.'' Appointed to a philosophy post at the new University of East Anglia in 1967, he remained in [MASK] until his death .","He left the FCO.'' Appointed to a philosophy post at the new University of East Anglia in 1967, he remained in <mask> until his death ."
manhattan,"At the age of 84, Frank Lovell died in a heart attack in his apartment in [MASK] on May Day 1998 .","At the age of 84, Frank Lovell died in a heart attack in his apartment in <mask> on May Day 1998 ."
utrecht,Reland died in 1718 in [MASK] of small pox .,Reland died in 1718 in <mask> of small pox .
milwaukee,"Reukema died on September 17, 1917 in [MASK] .","Reukema died on September 17, 1917 in <mask> ."
melbourne,"George Maddox died on 7 July 1867 in [MASK], Victoria at the age of 56 .","George Maddox died on 7 July 1867 in <mask>, Victoria at the age of 56 ."
paris,"A few months after a great retrospective at the Reflets Gallery in Brussels, Nicolas Eekman died on 13 November 1973 in [MASK] .","A few months after a great retrospective at the Reflets Gallery in Brussels, Nicolas Eekman died on 13 November 1973 in <mask> ."
milford,He continued the practice of law until his death in [MASK] in 1908 .,He continued the practice of law until his death in <mask> in 1908 .
devon,"Tayler continued to live in Cardiff, where he and his uncle ran a tobacco manufacturing business, but settled later in his life in [MASK], where he died at the age of 96 .","Tayler continued to live in Cardiff, where he and his uncle ran a tobacco manufacturing business, but settled later in his life in <mask>, where he died at the age of 96 ."
london,"Haldane died on 19 April 1950, at his home in [MASK] and was buried at Brookwood Cemetery .","Haldane died on 19 April 1950, at his home in <mask> and was buried at Brookwood Cemetery ."
shreveport,"He continued the practice of his profession until his death in [MASK] on October 18, 1861 .","He continued the practice of his profession until his death in <mask> on October 18, 1861 ."
london,She died in [MASK] .,She died in <mask> .
rome,Caccini died at [MASK] in 1613 .,Caccini died at <mask> in 1613 .
barbados,"In April 1674 the proprietors superseded Yeamans in favour of his predecessor Joseph West, and in the same year Yeamans returned to [MASK], where he died in August .","In April 1674 the proprietors superseded Yeamans in favour of his predecessor Joseph West, and in the same year Yeamans returned to <mask>, where he died in August ."
manhattan,"On July 8, 1949, he died in [MASK] from heart disease, survived by a sister in Carmel, California and a brother in Philadelphia .","On July 8, 1949, he died in <mask> from heart disease, survived by a sister in Carmel, California and a brother in Philadelphia ."
oxford,"Wheare died at [MASK] on 1 August 1647, and was buried under the eagle in Exeter College Chapel on 3 August, a large gravestone marking the place of burial .","Wheare died at <mask> on 1 August 1647, and was buried under the eagle in Exeter College Chapel on 3 August, a large gravestone marking the place of burial ."
geneva,He died suddenly whilst on holiday at [MASK] .,He died suddenly whilst on holiday at <mask> .
bath,Bowdler died at [MASK] on 25 February 1830 .,Bowdler died at <mask> on 25 February 1830 .
berkeley,"McGillycuddy died at age 90 in [MASK], California .","McGillycuddy died at age 90 in <mask>, California ."
florida,"Jim Chapin died on July 4, 2009 in [MASK] a few weeks shy of 90 years old .","Jim Chapin died on July 4, 2009 in <mask> a few weeks shy of 90 years old ."
chicago,"Lawler was again elected a member of the board of aldermen in 1896 and served until his death in [MASK] at age 53 A Roman Catholic, he was interred in Calvary Cemetery .","Lawler was again elected a member of the board of aldermen in 1896 and served until his death in <mask> at age 53 A Roman Catholic, he was interred in Calvary Cemetery ."
helena,"Ohs died of brain cancer on Sunday, November 25, 2007 at his home in [MASK], Montana, aged 61 The Montana Law Enforcement Academy has dedicated a building to the late former Montana Lt Gov .","Ohs died of brain cancer on Sunday, November 25, 2007 at his home in <mask>, Montana, aged 61 The Montana Law Enforcement Academy has dedicated a building to the late former Montana Lt Gov ."
lexington,"In November 1998, Pitchford died at his home in [MASK], from AIDS .","In November 1998, Pitchford died at his home in <mask>, from AIDS ."
england,"She died in [MASK] from the metastasized cancer, aged 66 .","She died in <mask> from the metastasized cancer, aged 66 ."
belgrade,Matekalo died in 1995 in [MASK] .,Matekalo died in 1995 in <mask> .
tunisia,"Precisely six years after Armistice Day, at age 32, Madon was killed in his native [MASK] preparing for a tribute to fellow airman Roland Garros .","Precisely six years after Armistice Day, at age 32, Madon was killed in his native <mask> preparing for a tribute to fellow airman Roland Garros ."
pasadena,"Sofia Adamson died of a heart attack on May 19, 2007 at Huntington Memorial Hospital in [MASK], California at the age of 90 .","Sofia Adamson died of a heart attack on May 19, 2007 at Huntington Memorial Hospital in <mask>, California at the age of 90 ."
vienna,Roman Zenzinger died on 5 November 1990 in [MASK] .,Roman Zenzinger died on 5 November 1990 in <mask> .
queens,"He held both positions until his death in [MASK], New York in 1967 .","He held both positions until his death in <mask>, New York in 1967 ."
venice,He died at [MASK] .,He died at <mask> .
london,George died at [MASK] in 1870 .,George died at <mask> in 1870 .
paris,"Rudler studied in [MASK] at the Lycée Louis-le-Grand and the École Normale Supérieure and, after graduating, taught rhetoric at various lycées including Louis-le-Grand .","Rudler studied in <mask> at the Lycée Louis-le-Grand and the École Normale Supérieure and, after graduating, taught rhetoric at various lycées including Louis-le-Grand ."
bath,"Barry died at [MASK], Somerset and was succeeded in the baronetcy by his eldest son Nathaniel .","Barry died at <mask>, Somerset and was succeeded in the baronetcy by his eldest son Nathaniel ."
japan,Okumura Masanobu died in 1764 in [MASK] .,Okumura Masanobu died in 1764 in <mask> .
stockholm,"A native of [MASK], Claussen was educated at the Royal Academy of Music in that city; she also studied at the Royal Academy in Berlin .","A native of <mask>, Claussen was educated at the Royal Academy of Music in that city; she also studied at the Royal Academy in Berlin ."
orlando,Albano died in an [MASK] hospital after suffering a heart attack and subsequent stroke .,Albano died in an <mask> hospital after suffering a heart attack and subsequent stroke .
oxford,"Howat died at [MASK] on 10 October 2007 at age 79 His Independent obituarist wrote, ``You had to be quick to keep up with Gerald Howat .","Howat died at <mask> on 10 October 2007 at age 79 His Independent obituarist wrote, ``You had to be quick to keep up with Gerald Howat ."
copenhagen,Brown died at the age of 52 in [MASK] .,Brown died at the age of 52 in <mask> .
leipzig,Besseler died at [MASK] .,Besseler died at <mask> .
ghent,"He was born at [MASK] in 1663, and was first a scholar of Francis van Mierhop, but he afterwards studied under Hans van Cleef .","He was born at <mask> in 1663, and was first a scholar of Francis van Mierhop, but he afterwards studied under Hans van Cleef ."
bathurst,"Chamberlain died in 1972 in [MASK], New Brunswick, the town where he was also born .","Chamberlain died in 1972 in <mask>, New Brunswick, the town where he was also born ."
sparta,"Fleeing again to Ammon, he then continued to Egypt, then finally to [MASK], where he died and was buried .","Fleeing again to Ammon, he then continued to Egypt, then finally to <mask>, where he died and was buried ."
cambridge,Ord died at [MASK] in 1961 at the age of 64 .,Ord died at <mask> in 1961 at the age of 64 .
berlin,Hans Christoph Friedrich Graf von Hacke died on 17 August 1754 in [MASK] .,Hans Christoph Friedrich Graf von Hacke died on 17 August 1754 in <mask> .
hobart,Duterrau died at [MASK] in 1851 .,Duterrau died at <mask> in 1851 .
troy,"Warren resumed his former business activities in [MASK], New York, where he died September 9, 1896 .","Warren resumed his former business activities in <mask>, New York, where he died September 9, 1896 ."
naples,"He died in 1503 at [MASK], where a remarkable group of terracotta figures, life-sized and painted, still adorns his tomb in the church of Monte Oliveto .","He died in 1503 at <mask>, where a remarkable group of terracotta figures, life-sized and painted, still adorns his tomb in the church of Monte Oliveto ."
california,She died in [MASK] on Sept .,She died in <mask> on Sept .
madrid,"Esperanza Pérez Labrador moved to [MASK], Spain, where she lived with her daughter, Manoli .","Esperanza Pérez Labrador moved to <mask>, Spain, where she lived with her daughter, Manoli ."
madrid,"She died in [MASK] on November 13, 2011, at the age 89 .","She died in <mask> on November 13, 2011, at the age 89 ."
sussex,"Duncombe died at the age of 65 in [MASK], and a week later he was buried at Kensal Green Cemetery in London .","Duncombe died at the age of 65 in <mask>, and a week later he was buried at Kensal Green Cemetery in London ."
adelaide,He died at [MASK] of pneumonia on 27 May 1930 .,He died at <mask> of pneumonia on 27 May 1930 .
orlando,"Crane progressively relinquished his cartooning to assistants, and he died in [MASK], Florida in 1977 .","Crane progressively relinquished his cartooning to assistants, and he died in <mask>, Florida in 1977 ."
lausanne,"Charles Secretan (1815-1895) was a Swiss philosopher born on January 19, 1815 in [MASK], Switzerland, where he also died on January 21, 1895 .","Charles Secretan (1815-1895) was a Swiss philosopher born on January 19, 1815 in <mask>, Switzerland, where he also died on January 21, 1895 ."
australia,She died in 1993 in [MASK] .,She died in 1993 in <mask> .
austin,"Following his death on November 25, 1942 in [MASK], Texas, he was buried in the Texas State Cemetery .","Following his death on November 25, 1942 in <mask>, Texas, he was buried in the Texas State Cemetery ."
cambridge,"Stewart was not a candidate for renomination to Congress in 1860, and resumed the practice of his profession in [MASK] .","Stewart was not a candidate for renomination to Congress in 1860, and resumed the practice of his profession in <mask> ."
cambridge,He became a judge of the Maryland Court of Appeals and served as chief justice of the circuit court from 1867 until his death in [MASK] .,He became a judge of the Maryland Court of Appeals and served as chief justice of the circuit court from 1867 until his death in <mask> .
paris,Desoille died at age 76 in [MASK] .,Desoille died at age 76 in <mask> .
montreal,She died in [MASK] in 1971 at the age of 81 .,She died in <mask> in 1971 at the age of 81 .
bath,He died at [MASK] in England in 1834 .,He died at <mask> in England in 1834 .
brighton,"Elmsley died at [MASK], 3 May 1802, in his sixty-seventh year .","Elmsley died at <mask>, 3 May 1802, in his sixty-seventh year ."
toronto,"He became governor for the British America Assurance Company in 1853 and became manager for the same company in 1871, serving until his death in [MASK] at the age of 65 .","He became governor for the British America Assurance Company in 1853 and became manager for the same company in 1871, serving until his death in <mask> at the age of 65 ."
buckinghamshire,Lord Kearton died from cancer on 2 July 1992 at Stoke Mandeville Hospital in [MASK] and was buried at Whitchurch .,Lord Kearton died from cancer on 2 July 1992 at Stoke Mandeville Hospital in <mask> and was buried at Whitchurch .
detroit,"On December 14, 1947 he died in [MASK] of a heart attack, a day before he was scheduled to perform in the city .","On December 14, 1947 he died in <mask> of a heart attack, a day before he was scheduled to perform in the city ."
london,"He died on 24 December 1969 in [MASK], and, with the exception of manuscripts given to his family and a group of books donated to the Eton College Collections, his remaining texts were sold for £993,509 between 1970 and 1975 .","He died on 24 December 1969 in <mask>, and, with the exception of manuscripts given to his family and a group of books donated to the Eton College Collections, his remaining texts were sold for £993,509 between 1970 and 1975 ."
bath,"Suffering from paralysis, Morse was placed under the guardianship of the probate court of [MASK] on September 7, 1926, adjudged incompetent to handle his affairs .","Suffering from paralysis, Morse was placed under the guardianship of the probate court of <mask> on September 7, 1926, adjudged incompetent to handle his affairs ."
bath,"Having suffered several strokes, he died of pneumonia at [MASK], Maine, on January 12, 1933 .","Having suffered several strokes, he died of pneumonia at <mask>, Maine, on January 12, 1933 ."
paris,"In the 1840s Westmacott moved to [MASK], where he died in 1868 .","In the 1840s Westmacott moved to <mask>, where he died in 1868 ."
manhattan,"Der Scutt died of liver failure at his home in [MASK] on March 14, 2010 .","Der Scutt died of liver failure at his home in <mask> on March 14, 2010 ."
paris,"André Jean (or Andray), who was born in [MASK], in 1662, became a Dominican in 1679 .","André Jean (or Andray), who was born in <mask>, in 1662, became a Dominican in 1679 ."
paris,He died at [MASK] in 1753 .,He died at <mask> in 1753 .
portland,Heaney died in 1981 in [MASK] .,Heaney died in 1981 in <mask> .
laos,Robertson died in 1973 in [MASK] due to the effects of malaria .,Robertson died in 1973 in <mask> due to the effects of malaria .
cambridge,"He died 26 December 2009 in [MASK], MA A memorial website, where remembrances can be posted, has been established at https://sites.google.com/site/ihorsevcenko/home .","He died 26 December 2009 in <mask>, MA A memorial website, where remembrances can be posted, has been established at https://sites.google.com/site/ihorsevcenko/home ."
holland,"He died in 1683 in [MASK], where he had gone after his bankruptcy, and was buried in London on June 13, 1683 .","He died in 1683 in <mask>, where he had gone after his bankruptcy, and was buried in London on June 13, 1683 ."
nassau,"At the outbreak of the Revolution, Eve fled with his wife to [MASK], Bahamas, where he died in his son Joseph's house in New Providence in 1793 .","At the outbreak of the Revolution, Eve fled with his wife to <mask>, Bahamas, where he died in his son Joseph's house in New Providence in 1793 ."
boston,"Julia O'Connor married Charles Austin Parker, a reporter for the [MASK] Herald, in 1925; a year later, upon the birth of their first child, she resigned her position on the executive board of the WTUL .","Julia O'Connor married Charles Austin Parker, a reporter for the <mask> Herald, in 1925; a year later, upon the birth of their first child, she resigned her position on the executive board of the WTUL ."
boston,She died in [MASK] in 1972 .,She died in <mask> in 1972 .
london,Joran died in 1954 in [MASK] .,Joran died in 1954 in <mask> .
toledo,"Sutton died of a heart attack in [MASK], Ohio, at the age of 68 Even the final year of his life was spent touring .","Sutton died of a heart attack in <mask>, Ohio, at the age of 68 Even the final year of his life was spent touring ."
beijing,"At 8:20pm on 9 March 1958, Cheng died of a heart attack in [MASK] .","At 8:20pm on 9 March 1958, Cheng died of a heart attack in <mask> ."
strasbourg,"Marbach also took an active part in bringing about the acceptance of the Formula of Concord; and prevailed on the [MASK] theologians to sign the Zerbst Formula (1571), while the official acceptance of the Formula of Concord was opposed by the town council .","Marbach also took an active part in bringing about the acceptance of the Formula of Concord; and prevailed on the <mask> theologians to sign the Zerbst Formula (1571), while the official acceptance of the Formula of Concord was opposed by the town council ."
strasbourg,He died at [MASK] .,He died at <mask> .
milan,Panza died on 24 April 2010 in [MASK] .,Panza died on 24 April 2010 in <mask> .
durham,"Waddington was installed in the deanery of [MASK] on 25 September 1840, and became warden of the university in 1862 .","Waddington was installed in the deanery of <mask> on 25 September 1840, and became warden of the university in 1862 ."
durham,"He died at [MASK] on 20 July 1869, and was buried on the north side of the cathedral yard .","He died at <mask> on 20 July 1869, and was buried on the north side of the cathedral yard ."
japan,"After Yoshinori's death, Zeami returned to mainland [MASK], where he died in 1443 .","After Yoshinori's death, Zeami returned to mainland <mask>, where he died in 1443 ."
kiev,"Beregovsky was born into a family of a Jewish parochial elementary school teacher in the village of Termakhovka, province of [MASK], Russian Empire .","Beregovsky was born into a family of a Jewish parochial elementary school teacher in the village of Termakhovka, province of <mask>, Russian Empire ."
kiev,He studied in the conservatories of [MASK] (composition and cello in 1915--1920) and Petrograd (1922--1924) .,He studied in the conservatories of <mask> (composition and cello in 1915--1920) and Petrograd (1922--1924) .
florence,He died at [MASK] .,He died at <mask> .
tottenham,"He died at [MASK] and is buried at Dr Watts' Walk in Abney Park Cemetery, Stoke Newington .","He died at <mask> and is buried at Dr Watts' Walk in Abney Park Cemetery, Stoke Newington ."
amsterdam,"Albertus Jonas Brandt, born at [MASK] in 1788, was a scholar of J E Morel, after whose death, in 1808, he passed two years with G van Os He painted dead game, fruit, and flowers .","Albertus Jonas Brandt, born at <mask> in 1788, was a scholar of J E Morel, after whose death, in 1808, he passed two years with G van Os He painted dead game, fruit, and flowers ."
jerusalem,"In 1980, Netanyahu retired from the Technion and moved to [MASK], where he died of cancer in 1986 .","In 1980, Netanyahu retired from the Technion and moved to <mask>, where he died of cancer in 1986 ."
greenville,"He was interested in banking until his death in [MASK], Ohio in 1881 .","He was interested in banking until his death in <mask>, Ohio in 1881 ."
manhattan,"Lowery died on July 24, 2001 in [MASK] at the age of 85 .","Lowery died on July 24, 2001 in <mask> at the age of 85 ."
england,"John Lyons died February 6, 1816 in [MASK] .","John Lyons died February 6, 1816 in <mask> ."
rome,Cardinal Baggio died in 1993 at [MASK] .,Cardinal Baggio died in 1993 at <mask> .
stockholm,Krantz died in 2008 in [MASK] of heart failure due to an infection .,Krantz died in 2008 in <mask> of heart failure due to an infection .
california,George died in a [MASK] hospital of pulmonary disease at the age of eighty-four .,George died in a <mask> hospital of pulmonary disease at the age of eighty-four .
devon,"In his retirement, Hazlitt lived at Addlestone in Surrey, at Bath in Somerset, and at Crediton in [MASK], where he died in 1820 .","In his retirement, Hazlitt lived at Addlestone in Surrey, at Bath in Somerset, and at Crediton in <mask>, where he died in 1820 ."
bolivia,"Quiroga's later success, however, obliged him to go in exile to [MASK], where he died penniless with many children .","Quiroga's later success, however, obliged him to go in exile to <mask>, where he died penniless with many children ."
brighton,Elliott died at [MASK] on 24 January 1865 .,Elliott died at <mask> on 24 January 1865 .
london,"After the death of his father, who had opposed his desire to become an artist, he came to [MASK] and entered the Royal Academy schools .","After the death of his father, who had opposed his desire to become an artist, he came to <mask> and entered the Royal Academy schools ."
london,"Langham died of consumption in 1871 at the age of 52 in [MASK], he is buried in Brompton Cemetery .","Langham died of consumption in 1871 at the age of 52 in <mask>, he is buried in Brompton Cemetery ."
melbourne,"He died at [MASK] on 19 February 1899, aged 78 .","He died at <mask> on 19 February 1899, aged 78 ."
london,"The Second World War interrupted Goodson's later career, during which she experienced the destruction of her [MASK] home in the Blitz, followed shortly by the death of her husband and then further extensive bomb damage to her country home .","The Second World War interrupted Goodson's later career, during which she experienced the destruction of her <mask> home in the Blitz, followed shortly by the death of her husband and then further extensive bomb damage to her country home ."
palestine,"If, then, he died in [MASK], his death must have taken place in the preceding year, 1176, to allow time for the arrival of the news in England .","If, then, he died in <mask>, his death must have taken place in the preceding year, 1176, to allow time for the arrival of the news in England ."
melbourne,"Brossart retired to St Anne Convent in [MASK], Kentucky, where he died on August 6, 1930 .","Brossart retired to St Anne Convent in <mask>, Kentucky, where he died on August 6, 1930 ."
